sum,id,auth,term,quality,doi
1110,1115,10,1100,sucess-download,"Jeon, T.; Luther, D. C.; Goswami, R.; Bell, C.; Nagaraj, H.; Cicek, Y. A.; Huang, R.; Mas-Rosario, J. A.; Elia, J. L.; Im, J.; Lee, Y. W.; Liu, Y.; Scaletti, F.; Farkas, M. E.; Mager, J.; Rotello, V. M. Engineered Polymer-siRNA Polyplexes Provide Effective Treatment of Lung Inflammation. ACS nano. 2023. https://doi.org/10.1021/acsnano.2c08690."
1105,230,5,1100,sucess-download,"Tian, Q.; Yang, F.; Jiang, H.; Bhattacharyya, P.; Xie, T.; Ali, A. A.; Sun, Y.; You, M. Imaging and detecting intercellular tensile forces in spheroids and embryoid bodies using lipid-modified DNA probes. Frontiers in cell and developmental biology. 2023. https://doi.org/10.3389/fcell.2023.1220079."
1102,199,2,1100,sucess-download,"Canniff, N. P.; Graham, J. B.; Guay, K. P.; Lubicki, D. A.; Eyles, S. J.; Rauch, J. N.; Hebert, D. N. TTC17 is an endoplasmic reticulum resident TPR-containing adaptor protein. The Journal of biological chemistry. 2023. https://doi.org/10.1016/j.jbc.2023.105450."
1102,1410,2,1100,sucess-download,"Fu, Y.; McClements, D. J.; Luo, S.; Ye, J.; Liu, C. Degradation kinetics of rutin encapsulated in oil-in-water emulsions: impact of particle size. Journal of the science of food and agriculture. 2022. https://doi.org/10.1002/jsfa.12188."
1013,999,13,1000,sucess-download,"Zhang, X.; Liu, Y.; Doungchawee, J.; Castellanos-García, L. J.; Sikora, K. N.; Jeon, T.; Goswami, R.; Fedeli, S.; Gupta, A.; Huang, R.; Hirschbiegel, C. M.; Cao-Milán, R.; Majhi, P. K.; Cicek, Y. A.; Liu, L.; Jerry, D. J.; Vachet, R. W.; Rotello, V. M. Bioorthogonal nanozymes for breast cancer imaging and therapy. Journal of controlled release : official journal of the Controlled Release Society. 2023. https://doi.org/10.1016/j.jconrel.2023.03.032."
1007,430,7,1000,sucess-download,"Makabenta, J. M.; Nabawy, A.; Chattopadhyay, A. N.; Jeon, T.; Park, J.; Lo, P. C.; Nosovitski, S.; Huang, R.; Li, C. H.; Jiang, M.; Rotello, V. M. Antimicrobial polymer-loaded hydrogels for the topical treatment of multidrug-resistant wound biofilm infections. Journal of controlled release : official journal of the Controlled Release Society. 2023. https://doi.org/10.1016/j.jconrel.2023.09.002."
1005,578,5,1000,sucess-download,"Chen, Z.; Chen, W.; Reheman, Z.; Jiang, H.; Wu, J.; Li, X. Genetically encoded RNA-based sensors with Pepper fluorogenic aptamer. Nucleic acids research. 2023. https://doi.org/10.1093/nar/gkad620."
1005,377,5,1000,sucess-download,"Chiu, K.; Berrada, Y.; Eskndir, N.; Song, D.; Fong, C.; Naughton, S.; Chen, T.; Moy, S.; Gyurmey, S.; James, L.; Ezeiruaku, C.; Capistran, C.; Lowey, D.; Diwanji, V.; Peterson, S.; Parakh, H.; Burgess, A. R.; Probert, C.; Zhu, A.; Anderson, B.; Levi, N.; Gerlitz, G.; Packard, M. C.; Dorfman, K. A.; Bahiru, M. S.; Stephens, A. D. CTCF is essential for proper mitotic spindle structure and anaphase segregation. Chromosoma. 2023. https://doi.org/10.1007/s00412-023-00810-w."
1004,587,4,1000,sucess-download,"Velle, K. B.; Garner, R. M.; Beckford, T. K.; Weeda, M.; Liu, C.; Kennard, A. S.; Edwards, M.; Fritz-Laylin, L. K. A conserved pressure-driven mechanism for regulating cytosolic osmolarity. Current biology : CB. 2023. https://doi.org/10.1016/j.cub.2023.06.061."
908,638,8,900,sucess-download,"Luo, C.; Liu, X.; Zhang, Y.; Dai, H.; Ci, H.; Mou, S.; Zhou, M.; Chen, L.; Wang, Z.; Russell, T. P.; Sun, J. Reconfigurable Magnetic Liquid Building Blocks for Constructing Artificial Spinal Column Tissues. Advanced science (Weinheim, Baden-Wurttemberg, Germany). 2023. https://doi.org/10.1002/advs.202300694."
903,489,3,900,sucess-download,"Morin, S. M.; Gregory, K. J.; Medeiros, B.; Terefe, T.; Hoshyar, R.; Alhusseiny, A.; Chen, S.; Schwartz, R. C.; Jerry, D. J.; Vandenberg, L. N.; Schneider, S. S. Benzophenone-3 exposure alters composition of tumor infiltrating immune cells and increases lung seeding of 4T1 breast cancer cells. Advances in cancer biology - metastasis. 2023. https://doi.org/10.1016/j.adcanc.2022.100080."
902,893,2,900,sucess-download,"Tan, Y.; Zhang, Z.; McClements, D. J. Preparation of plant-based meat analogs using emulsion gels: Lipid-filled RuBisCo protein hydrogels. Food research international (Ottawa, Ont.). 2023. https://doi.org/10.1016/j.foodres.2023.112708."
804,1256,4,800,sucess-download,"Wang, C.; Fu, Y.; Cao, Y.; Huang, J.; Lin, H.; Shen, P.; Julian McClements, D.; Han, L.; Zhao, T.; Yan, X.; Li, Q. Enhancement of lycopene bioaccessibility in tomatoes using excipient emulsions: Effect of dark tea polysaccharides. Food research international (Ottawa, Ont.). 2023. https://doi.org/10.1016/j.foodres.2022.112123."
804,154,4,800,sucess-download,"Nandi, D.; Forster Iii, J.; Ramesh, A.; Nguyen, A.; Bharadwaj, H.; Kulkarni, A. Caspase-1 Responsive Nanoreporter for  ACS applied materials & interfaces. 2023. https://doi.org/10.1021/acsami.3c15733."
803,1222,3,800,sucess-download,"Huynh, U.; Wu, P.; Qiu, J.; Prachyathipsakul, T.; Singh, K.; Jerry, D. J.; Gao, J.; Thayumanavan, S. Targeted Drug Delivery Using a Plug-to-Direct Antibody-Nanogel Conjugate. Biomacromolecules. 2023. https://doi.org/10.1021/acs.biomac.2c01269."
720,1191,20,700,sucess-download,"Huang, J.; Yang, L.; Yang, L.; Wu, X.; Cui, X.; Zhang, L.; Hui, J.; Zhao, Y.; Yang, H.; Liu, S.; Xu, Q.; Pang, M.; Guo, X.; Cao, Y.; Chen, Y.; Ren, X.; Lv, J.; Yu, J.; Ding, J.; Xu, G.; Wang, N.; Wei, X.; Lin, Q.; Yuan, Y.; Zhang, X.; Ma, C.; Dai, C.; Wang, P.; Wang, Y.; Cheng, F.; Zeng, W.; Palanivelu, R.; Wu, H. M.; Zhang, X.; Cheung, A. Y.; Duan, Q. Stigma receptors control intraspecies and interspecies barriers in Brassicaceae. Nature. 2023. https://doi.org/10.1038/s41586-022-05640-x."
707,521,7,700,sucess-download,"Nabawy, A.; Gupta, A.; Jiang, M.; Hirschbiegel, C. M.; Fedeli, S.; Chattopadhyay, A. N.; Park, J.; Zhang, X.; Liu, L.; Rotello, V. M. Biodegradable nanoemulsion-based bioorthogonal nanocatalysts for intracellular generation of anticancer therapeutics. Nanoscale. 2023. https://doi.org/10.1039/d3nr01801f."
706,741,6,700,sucess-download,"Luther, D. C.; Goswami, R.; Lee, Y. W.; Jeon, T.; Huang, R.; Elia, J. L.; Nagaraj, H.; Bijlsma, J. J.; Piest, M.; Langereis, M. A.; Rotello, V. M. Non-viral vaccination through cationic guanidium polymer-pDNA polyplex mediated gene transfer. Nanoscale. 2023. https://doi.org/10.1039/d2nr06428f."
704,350,4,700,sucess-download,"Rajagopalan, N. R.; Munawar, T.; Sheehan, M. C.; Fujimori, M.; Vista, W. R.; Wimmer, T.; Gutta, N. B.; Solomon, S. B.; Srimathveeravalli, G. Electrolysis products, reactive oxygen species and ATP loss contribute to cell death following irreversible electroporation with microsecond-long pulsed electric fields. Bioelectrochemistry (Amsterdam, Netherlands). 2023. https://doi.org/10.1016/j.bioelechem.2023.108579."
704,392,4,700,sucess-download,"Debnath, M.; Forster, J.; Ramesh, A.; Kulkarni, A. Protein Corona Formation on Lipid Nanoparticles Negatively Affects the NLRP3 Inflammasome Activation. Bioconjugate chemistry. 2023. https://doi.org/10.1021/acs.bioconjchem.3c00329."
703,163,3,700,sucess-download,"Sadowska, J. M.; Ziminska, M.; Ferreira, C.; Matheson, A.; Balouch, A.; Bogle, J.; Wojda, S.; Redmond, J.; Elkashif, A.; Dunne, N.; McCarthy, H. O.; Donahue, S.; O'Brien, F. J. Development of miR-26a-activated scaffold to promote healing of critical-sized bone defects through angiogenic and osteogenic mechanisms. Biomaterials. 2023. https://doi.org/10.1016/j.biomaterials.2023.122398."
703,978,3,700,sucess-download,"Giaume, F.; Bono, G. A.; Martignago, D.; Miao, Y.; Vicentini, G.; Toriba, T.; Wang, R.; Kong, D.; Cerise, M.; Chirivì, D.; Biancucci, M.; Khahani, B.; Morandini, P.; Tameling, W.; Martinotti, M.; Goretti, D.; Coupland, G.; Kater, M.; Brambilla, V.; Miki, D.; Kyozuka, J.; Fornara, F. Two florigens and a florigen-like protein form a triple regulatory module at the shoot apical meristem to promote reproductive transitions in rice. Nature plants. 2023. https://doi.org/10.1038/s41477-023-01383-3."
702,352,2,700,sucess-download,"Pandey, A.; Cousin, H.; Horr, B.; Alfandari, D. ADAM11 a novel regulator of Wnt and BMP4 signaling in neural crest and cancer. Frontiers in cell and developmental biology. 2023. https://doi.org/10.3389/fcell.2023.1271178."
702,1297,2,700,sucess-download,"Daitch, A. K.; Orsburn, B. C.; Chen, Z.; Alvarez, L.; Eberhard, C. D.; Sundararajan, K.; Zeinert, R.; Kreitler, D. F.; Jakoncic, J.; Chien, P.; Cava, F.; Gabelli, S. B.; Goley, E. D. EstG is a novel esterase required for cell envelope integrity in Caulobacter. Current biology : CB. 2022. https://doi.org/10.1016/j.cub.2022.11.037."
608,551,8,600,sucess-download,"Park, J.; Nabawy, A.; Doungchawee, J.; Mahida, N.; Foster, K.; Jantarat, T.; Jiang, M.; Chattopadhyay, A. N.; Hassan, M. A.; Agrohia, D. K.; Makabenta, J. M.; Vachet, R. W.; Rotello, V. M. Synergistic Treatment of Multidrug-Resistant Bacterial Biofilms Using Silver Nanoclusters Incorporated into Biodegradable Nanoemulsions. ACS applied materials & interfaces. 2023. https://doi.org/10.1021/acsami.3c06242."
605,1248,5,600,sucess-download,"Nandi, D.; Forster, J.; Ramesh, A.; Nguyen, A.; Bharadwaj, H.; Kulkarni, A. Nanoreporter for Real-Time Monitoring of Inflammasome Activity and Targeted Therapy. Advanced science (Weinheim, Baden-Wurttemberg, Germany). 2023. https://doi.org/10.1002/advs.202204900."
604,356,4,600,sucess-download,"Muncke, J.; Andersson, A. M.; Backhaus, T.; Belcher, S. M.; Boucher, J. M.; Carney Almroth, B.; Collins, T. J.; Geueke, B.; Groh, K. J.; Heindel, J. J.; von Hippel, F. A.; Legler, J.; Maffini, M. V.; Martin, O. V.; Peterson Myers, J.; Nadal, A.; Nerin, C.; Soto, A. M.; Trasande, L.; Vandenberg, L. N.; Wagner, M.; Zimmermann, L.; Thomas Zoeller, R.; Scheringer, M. A vision for safer food contact materials: Public health concerns as drivers for improved testing. Environment international. 2023. https://doi.org/10.1016/j.envint.2023.108161."
603,241,3,600,sucess-download,"Hossain, F.; Ucar, D. A.; Monticone, G.; Ran, Y.; Majumder, S.; Larter, K.; Luu, H.; Wyczechowska, D.; Heidari, S.; Xu, K.; Shanthalingam, S.; Matossian, M.; Xi, Y.; Burow, M.; Collins-Burow, B.; Del Valle, L.; Hicks, C.; Zabaleta, J.; Golde, T.; Osborne, B.; Miele, L. Sulindac sulfide as a non-immune suppressive γ-secretase modulator to target triple-negative breast cancer. Frontiers in immunology. 2023. https://doi.org/10.3389/fimmu.2023.1244159."
603,1378,3,600,sucess-download,"Nabi, D.; Bosi, D.; Gupta, N.; Thaker, N.; Fissore, R.; Brayboy, L. M. Multidrug resistance transporter-1 dysfunction perturbs meiosis and Ca2+ homeostasis in oocytes. Reproduction (Cambridge, England). 2022. https://doi.org/10.1530/REP-22-0192."
602,729,2,600,sucess-download,"Ashraf, M. A.; Liu, L.; Facette, M. R. A polarized nuclear position specifies the correct division plane during maize stomatal development. Plant physiology. 2023. https://doi.org/10.1093/plphys/kiad329."
602,894,2,600,sucess-download,"Lara-Rojas, F.; Juárez-Verdayes, M. A.; Wu, H. M.; Cheung, A. Y.; Montiel, J.; Pascual-Morales, E.; Ryken, S. E.; Bezanilla, M.; Cardenas, L. Using Hyper as a molecular probe to visualize hydrogen peroxide in living plant cells: An updated method. Methods in enzymology. 2023. https://doi.org/10.1016/bs.mie.2022.09.012."
514,450,14,500,sucess-download,"Wu, R.; Prachyathipsakul, T.; Zhuang, J.; Liu, H.; Han, Y.; Liu, B.; Gong, S.; Qiu, J.; Wong, S.; Ribbe, A.; Medeiros, J.; Bhagabati, J.; Gao, J.; Wu, P.; Dutta, R.; Herrera, R.; Faraci, S.; Xiao, H.; Thayumanavan, S. Conferring liver selectivity to a thyromimetic using a novel nanoparticle increases therapeutic efficacy in a diet-induced obesity animal model. PNAS nexus. 2023. https://doi.org/10.1093/pnasnexus/pgad252."
512,278,12,500,sucess-download,"Liu, X.; Rao, S.; Chen, W.; Felix, K.; Ni, J.; Sahasrabudhe, A.; Lin, S.; Wang, Q.; Liu, Y.; He, Z.; Xu, J.; Huang, S.; Hong, E.; Yau, T.; Anikeeva, P.; Zhao, X. Fatigue-resistant hydrogel optical fibers enable peripheral nerve optogenetics during locomotion. Nature methods. 2023. https://doi.org/10.1038/s41592-023-02020-9."
506,1063,6,500,sucess-download,"He, J.; Wu, X.; Xie, Y.; Gao, Y.; McClements, D. J.; Zhang, L.; Zou, L.; Liu, W. Capsaicin encapsulated in W/O/W double emulsions fabricated via ethanol-induced pectin gelling: Improvement of bioaccessibility and reduction of irritation. International journal of biological macromolecules. 2023. https://doi.org/10.1016/j.ijbiomac.2023.123899."
506,713,6,500,sucess-download,"Ramesh, A.; Deshpande, N.; Malik, V.; Nguyen, A.; Malhotra, M.; Debnath, M.; Brouillard, A.; Kulkarni, A. Activatable Nanoreporters for Real-Time Tracking of Macrophage Phenotypic States Associated with Disease Progression. Small (Weinheim an der Bergstrasse, Germany). 2023. https://doi.org/10.1002/smll.202300978."
505,892,5,500,sucess-download,"Qiu, Y.; McClements, D. J.; Chen, J.; Li, C.; Liu, C.; Dai, T. Construction of 3D printed meat analogs from plant-based proteins: Improving the printing performance of soy protein- and gluten-based pastes facilitated by rice protein. Food research international (Ottawa, Ont.). 2023. https://doi.org/10.1016/j.foodres.2023.112635."
504,607,4,500,sucess-download,"Xue, R.; Lan, R.; Su, W.; Wang, Z.; Li, X.; Zhao, J.; Ma, C.; Xing, B. Mechanistic Understanding toward the Maternal Transfer of Nanoplastics in  ACS nano. 2023. https://doi.org/10.1021/acsnano.3c01847."
502,1134,2,500,sucess-download,"Horr, B.; Kurtz, R.; Pandey, A.; Hoffstrom, B. G.; Schock, E.; LaBonne, C.; Alfandari, D. Production and characterization of monoclonal antibodies to Xenopus proteins. Development (Cambridge, England). 2023. https://doi.org/10.1242/dev.201309."
502,628,2,500,sucess-download,"Lehman, T. A.; Rosas, M. A.; Brew-Appiah, R. A.; Solanki, S.; York, Z. B.; Dannay, R.; Wu, Y.; Roalson, E. H.; Zheng, P.; Main, D.; Baskin, T. I.; Sanguinet, K. A. BUZZ: an essential gene for postinitiation root hair growth and a mediator of root architecture in Brachypodium distachyon. The New phytologist. 2023. https://doi.org/10.1111/nph.19079."
502,980,2,500,sucess-download,"Wu, P.; Prachyathipsakul, T.; Huynh, U.; Qiu, J.; Jerry, D. J.; Thayumanavan, S. Optimizing Conjugation Chemistry, Antibody Conjugation Site, and Surface Density in Antibody-Nanogel Conjugates (ANCs) for Cell-Specific Drug Delivery. Bioconjugate chemistry. 2023. https://doi.org/10.1021/acs.bioconjchem.3c00034."
409,202,9,400,sucess-download,"Zhao, J.; Lan, R.; Wang, Z.; Su, W.; Song, D.; Xue, R.; Liu, Z.; Liu, X.; Dai, Y.; Yue, T.; Xing, B. Microplastic fragmentation by rotifers in aquatic ecosystems contributes to global nanoplastic pollution. Nature nanotechnology. 2023. https://doi.org/10.1038/s41565-023-01534-9."
407,368,7,400,sucess-download,"Yang, F.; Chen, P.; Jiang, H.; Xie, T.; Shao, Y.; Kim, D. H.; Li, B.; Sun, Y. Directional Cell Migration Guided by a Strain Gradient. Small (Weinheim an der Bergstrasse, Germany). 2023. https://doi.org/10.1002/smll.202302404."
406,1012,6,400,sucess-download,"Jiang, Z.; Tian, J.; Bai, X.; McClements, D. J.; Ma, C.; Liu, X.; Liu, F. Improving probiotic survival using water-in-oil-in-water (W Food chemistry. 2023. https://doi.org/10.1016/j.foodchem.2023.135889."
406,617,6,400,sucess-download,"Luo, X.; Ao, S.; Wu, H.; McClements, D. J.; Fang, L.; Huang, M.; Zhou, Y.; Yin, X.; Xi, M.; Cai, T.; Zhu, K. Hyaluronic Acid Poly(glyceryl) Journal of agricultural and food chemistry. 2023. https://doi.org/10.1021/acs.jafc.3c02322."
406,467,6,400,sucess-download,"Zhang, X.; Ma, D.; Yin, C.; Li, Z.; Hao, J.; Li, Y.; Zhang, S. The biological activity, functionality, and emulsion stability of soybean meal hydrolysate-proanthocyanidin conjugates. Food chemistry. 2023. https://doi.org/10.1016/j.foodchem.2023.137159."
405,57,5,400,sucess-download,"Xue, W.; Lee, D.; Kong, Y.; Kuss, M.; Huang, Y.; Kim, T.; Chung, S.; Dudley, A. T.; Ro, S. H.; Duan, B. A Facile Strategy for the Fabrication of Cell-laden Porous Alginate Hydrogels Based on Two-phase Aqueous Emulsions. Advanced functional materials. 2023. https://doi.org/10.1002/adfm.202214129."
404,1288,4,400,sucess-download,"Wu, X.; Liu, Y.; Wang, W.; Crimmings, K.; Williams, A.; Mager, J.; Cui, W. Early embryonic lethality of mice lacking POLD2. Molecular reproduction and development. 2022. https://doi.org/10.1002/mrd.23663."
403,37,3,400,sucess-download,"Kumar, D.; Singh, R.; Upadhyay, S. K.; Verma, K. K.; Tripathi, R. M.; Liu, H.; Dhankher, O. P.; Tripathi, R. D.; Sahi, S. V.; Seth, C. S. Review on interactions between nanomaterials and phytohormones: Novel perspectives and opportunities for mitigating environmental challenges. Plant science : an international journal of experimental plant biology. 2024. https://doi.org/10.1016/j.plantsci.2023.111964."
403,849,3,400,sucess-download,"Chen, K.; Muthukumar, M. Substantial Slowing of Electrophoretic Translocation of DNA through a Nanopore Using Coherent Multiple Entropic Traps. ACS nano. 2023. https://doi.org/10.1021/acsnano.2c12921."
402,1374,2,400,sucess-download,"Nan, Q.; Char, S. N.; Yang, B.; Bennett, E. J.; Yang, B.; Facette, M. R. Polarly localized WPR proteins interact with PAN receptors and the actin cytoskeleton during maize stomatal development. The Plant cell. 2022. https://doi.org/10.1093/plcell/koac301."
402,723,2,400,sucess-download,"Zhou, J.; Smith, J. A.; Li, M.; Holmes, D. E. Methane production by  mBio. 2023. https://doi.org/10.1128/mbio.00360-23."
402,404,2,400,sucess-download,"Keum, C.; Hirschbiegel, C. M.; Chakraborty, S.; Jin, S.; Jeong, Y.; Rotello, V. M. Biomimetic and bioorthogonal nanozymes for biomedical applications. Nano convergence. 2023. https://doi.org/10.1186/s40580-023-00390-6."
309,596,9,300,shorty-download,"Howerton, E.; Contamin, L.; Mullany, L. C.; Qin, M.; Reich, N. G.; Bents, S.; Borchering, R. K.; Jung, S. M.; Loo, S. L.; Smith, C. P.; Levander, J.; Kerr, J.; Espino, J.; van Panhuis, W. G.; Hochheiser, H.; Galanti, M.; Yamana, T.; Pei, S.; Shaman, J.; Rainwater-Lovett, K.; Kinsey, M.; Tallaksen, K.; Wilson, S.; Shin, L.; Lemaitre, J. C.; Kaminsky, J.; Hulse, J. D.; Lee, E. C.; McKee, C.; Hill, A.; Karlen, D.; Chinazzi, M.; Davis, J. T.; Mu, K.; Xiong, X.; Piontti, A. P.; Vespignani, A.; Rosenstrom, E. T.; Ivy, J. S.; Mayorga, M. E.; Swann, J. L.; España, G.; Cavany, S.; Moore, S.; Perkins, A.; Hladish, T.; Pillai, A.; Toh, K. B.; Longini, I.; Chen, S.; Paul, R.; Janies, D.; Thill, J. C.; Bouchnita, A.; Bi, K.; Lachmann, M.; Fox, S.; Meyers, L. A.; Srivastava, A.; Porebski, P.; Venkatramanan, S.; Adiga, A.; Lewis, B.; Klahn, B.; Outten, J.; Hurt, B.; Chen, J.; Mortveit, H.; Wilson, A.; Marathe, M.; Hoops, S.; Bhattacharya, P.; Machi, D.; Cadwell, B. L.; Healy, J. M.; Slayton, R. B.; Johansson, M. A.; Biggerstaff, M.; Truelove, S.; Runge, M. C.; Shea, K.; Viboud, C.; Lessler, J. Informing pandemic response in the face of uncertainty.  medRxiv : the preprint server for health sciences. 2023. https://doi.org/10.1101/2023.06.28.23291998."
308,1039,8,300,sucess-download,"Li, X.; He, Y.; Zhang, S.; Gu, Q.; McClements, D. J.; Chen, S.; Liu, X.; Liu, F. Lactoferrin-Based Ternary Composite Nanoparticles with Enhanced Dispersibility and Stability for Curcumin Delivery. ACS applied materials & interfaces. 2023. https://doi.org/10.1021/acsami.2c20816."
307,183,7,300,shorty-download,"Jung, S. M.; Loo, S. L.; Howerton, E.; Contamin, L.; Smith, C. P.; Carcelén, E. C.; Yan, K.; Bents, S. J.; Levander, J.; Espino, J.; Lemaitre, J. C.; Sato, K.; McKee, C. D.; Hill, A. L.; Chinazzi, M.; Davis, J. T.; Mu, K.; Vespignani, A.; Rosenstrom, E. T.; Rodriguez-Cartes, S. A.; Ivy, J. S.; Mayorga, M. E.; Swann, J. L.; España, G.; Cavany, S.; Moore, S. M.; Perkins, A.; Chen, S.; Paul, R.; Janies, D.; Thill, J. C.; Srivastava, A.; Al Aawar, M.; Bi, K.; Bandekar, S. R.; Bouchnita, A.; Fox, S. J.; Meyers, L. A.; Porebski, P.; Venkatramanan, S.; Adiga, A.; Hurt, B.; Klahn, B.; Outten, J.; Chen, J.; Mortveit, H.; Wilson, A.; Hoops, S.; Bhattacharya, P.; Machi, D.; Vullikanti, A.; Lewis, B.; Marathe, M.; Hochheiser, H.; Runge, M. C.; Shea, K.; Truelove, S.; Viboud, C.; Lessler, J. Potential impact of annual vaccination with reformulated COVID-19 vaccines: lessons from the U.S. COVID-19 Scenario Modeling Hub. medRxiv : the preprint server for health sciences. 2023. https://doi.org/10.1101/2023.10.26.23297581."
306,1244,6,300,sucess-download,"Li, Q.; Liu, L.; Zhang, J.; Dong, M.; Wang, L.; Julian McClements, D.; Fu, Y.; Han, L.; Shen, P.; Chen, X. Effects of pile fermentation on the physicochemical, functional, and biological properties of tea polysaccharides. Food chemistry. 2023. https://doi.org/10.1016/j.foodchem.2022.135353."
305,816,5,300,sucess-download,"Gu, P.; Luo, X.; Zhou, S.; Wang, D.; Li, Z.; Chai, Y.; Zhang, Y.; Shi, S.; Russell, T. P. Stabilizing Liquids Using Interfacial Supramolecular Assemblies. Angewandte Chemie (International ed. in English). 2023. https://doi.org/10.1002/anie.202303789."
305,588,5,300,sucess-download,"Guo, S.; Guo, Q.; Zhang, Y.; Peng, X.; Ma, C.; McClements, D. J.; Liu, X.; Liu, F. Preparation of enzymatically cross-linked α-lactalbumin nanoparticles and their application for encapsulating lycopene. Food chemistry. 2023. https://doi.org/10.1016/j.foodchem.2023.136394."
305,916,5,300,sucess-download,"Geng, Q.; McClements, D. J.; Wu, Z.; Li, T.; He, X.; Shuai, X.; Liu, C.; Dai, T. Investigation of bovine β-lactoglobulin-procyanidin complexes interactions and its utilization in O/W emulsion. International journal of biological macromolecules. 2023. https://doi.org/10.1016/j.ijbiomac.2023.124457."
304,1179,4,300,sucess-download,"Wang, H.; Zhao, Y.; Yin, S.; Dai, Y.; Zhao, J.; Wang, Z.; Xing, B. Antagonism toxicity of CuO nanoparticles and mild ocean acidification to marine algae. Journal of hazardous materials. 2023. https://doi.org/10.1016/j.jhazmat.2023.130857."
304,1043,4,300,sucess-download,"Kim, J. H.; Lee, D. E.; Park, S. Y.; Clark, J. M.; Lee, S. H. Histological confinement of transglutaminase-mediated nit sheath crosslinking is essential for proper oviposition and egg coating in the human head louse, Pediculus humanus capitis. Parasites & vectors. 2023. https://doi.org/10.1186/s13071-023-05720-5."
